,Dataset,Rank,Normal,T(3),T(4),T(5),T(6),T(7),T(8),T(9),T(10)
0,fly,1,GO:0070932,GO:0035206,GO:0006468,GO:0006750,GO:0016458,GO:0007411,GO:0007411,GO:0007411,GO:0006357
1,fly,2,GO:0032291,GO:0000266,GO:0045892,GO:0000165,GO:0030509,GO:0042981,GO:0045454,GO:0006355,GO:0010506
2,fly,3,GO:0042026,GO:0032869,GO:0042026,GO:0007186,GO:0000302,GO:0061077,GO:0006355,GO:0000422,GO:0032924
3,fly,4,GO:0042331,GO:0048072,GO:0016236,GO:2000253,GO:0045892,GO:0048167,GO:0010508,GO:0010506,GO:0006468
4,fly,5,GO:0046328,GO:0016458,GO:0042078,GO:0070328,GO:0045893,GO:0000122,GO:0006914,GO:0032924,GO:0045944
5,fly,6,GO:0061086,GO:0008333,GO:0034058,GO:0046627,GO:0009408,GO:0006355,GO:0045892,GO:0006914,GO:0007623
6,fly,7,GO:0006525,GO:0045880,GO:0046622,GO:0006727,GO:0040014,GO:0030308,GO:0030707,GO:0000122,GO:0045892
7,fly,8,GO:0006099,GO:0048749,GO:0010884,GO:0016192,GO:0007616,GO:0045792,GO:0006897,GO:0007623,GO:0006979
8,fly,9,GO:0045745,GO:0051156,GO:0030536,GO:0006914,GO:0006750,GO:0046627,GO:0000122,GO:0045893,GO:0055088
9,fly,10,GO:0010468,GO:0016319,GO:0045454,GO:0045475,GO:0042026,GO:0045454,GO:0006357,GO:0006979,GO:0008340
10,mouse,1,GO:0033326,GO:0007166,GO:0042060,GO:0010765,GO:0000122,GO:0032868,GO:0006357,GO:0007189,GO:0007005
11,mouse,2,GO:0006366,GO:0043161,GO:0009650,GO:0032922,GO:0048511,GO:0006974,GO:0006978,GO:0006357,GO:0006355
12,mouse,3,GO:0010529,GO:0002931,GO:1902895,GO:0042632,GO:0009411,GO:0008284,GO:0006915,GO:0008284,GO:0043524
13,mouse,4,GO:0038166,GO:0021510,GO:0046627,GO:0006915,GO:0048666,GO:0048146,GO:0007005,GO:0042593,GO:0008286
14,mouse,5,GO:0003057,GO:0001932,GO:0001937,GO:0032868,GO:0000723,GO:0007049,GO:0043161,GO:0008285,GO:0006979
15,mouse,6,GO:0010877,GO:0043280,GO:0090263,GO:0001666,GO:0006954,GO:0000077,GO:0000077,GO:0032922,GO:0071480
16,mouse,7,GO:0014065,GO:0009314,GO:1904646,GO:0006298,GO:0010506,GO:0006979,GO:0048009,GO:0001701,GO:0006915
17,mouse,8,GO:1903038,GO:0030334,GO:0043536,GO:0043627,GO:0008283,GO:0008285,GO:0007275,GO:0045444,GO:0007049
18,mouse,9,GO:0040016,GO:0010259,GO:0051896,GO:0045907,GO:0048661,GO:0001525,GO:0006281,GO:0007005,GO:0043525
19,mouse,10,GO:0090275,GO:0000077,GO:0019430,GO:0048666,GO:0032868,GO:0071456,GO:0008630,GO:0043065,GO:0032869
20,worm,1,GO:0006878,GO:0060298,GO:0016579,GO:0016579,GO:0010286,GO:0016579,GO:0035556,GO:0006412,GO:0015031
21,worm,2,GO:0034727,GO:0006515,GO:0000723,GO:0051321,GO:0060465,GO:0007275,GO:0016567,GO:0030150,GO:0006120
22,worm,3,GO:0006094,GO:0007212,GO:0006814,GO:0007179,GO:0048598,GO:1905515,GO:0007165,GO:0040011,GO:0006897
23,worm,4,GO:0008202,GO:1903998,GO:1903554,GO:0000226,GO:0008380,GO:0007268,GO:0006357,GO:0007179,GO:0055085
24,worm,5,GO:0043410,GO:0046580,GO:0006357,GO:0006631,GO:0016579,GO:0015031,GO:0060290,GO:0045087,GO:0036498
25,worm,6,GO:0019725,GO:0048015,GO:0060378,GO:0006412,GO:0015986,GO:0016567,GO:0006897,GO:0015031,GO:0045944
26,worm,7,GO:0007163,GO:0007528,GO:0006811,GO:0032543,GO:0030154,GO:0000003,GO:0043161,GO:0046662,GO:0006355
27,worm,8,GO:0006629,GO:0019915,GO:0007266,GO:0006310,GO:0015031,GO:0048477,GO:0008355,GO:0006281,GO:0006468
28,worm,9,GO:1904785,GO:1903554,GO:0006631,GO:0043401,GO:0006094,GO:0010468,GO:0006418,GO:0007281,GO:0060271
29,worm,10,GO:0097500,GO:0040027,GO:0001732,GO:0010506,GO:0006412,GO:1905909,GO:0007179,GO:0006355,GO:0016567
30,yeast,1,GO:1990986,GO:0006882,GO:0006348,GO:0006896,GO:0006865,GO:0006696,GO:0006310,GO:0000183,GO:0035556
31,yeast,2,GO:0042770,GO:0046323,GO:0006974,GO:0006656,GO:0006270,GO:0051568,GO:0000183,GO:0006310,GO:0006310
32,yeast,3,GO:1900430,GO:0008202,GO:0006342,GO:0006506,GO:0031939,GO:0006310,GO:0005975,GO:0006623,GO:0006470
33,yeast,4,GO:0007094,GO:0005979,GO:0006414,GO:0006906,GO:0030011,GO:0000196,GO:0006325,GO:0006325,GO:0006099
34,yeast,5,GO:0007190,GO:0030433,GO:0019363,GO:0006310,GO:0006506,GO:0000027,GO:0000196,GO:0032880,GO:0000183
35,yeast,6,GO:0034727,GO:0051594,GO:0042147,GO:0008380,GO:0000077,GO:0000183,GO:0001302,GO:0000184,GO:0006887
36,yeast,7,GO:0001308,GO:0006355,GO:0007186,GO:0032979,GO:0000184,GO:0006357,GO:0000729,GO:0000011,GO:0005975
37,yeast,8,GO:0005978,GO:0015031,GO:0070649,GO:0006817,GO:0016558,GO:0006887,GO:0000045,GO:0032511,GO:0006397
38,yeast,9,GO:0000723,GO:0070131,GO:0030010,GO:0051726,GO:0000183,GO:0015918,GO:0016567,GO:0007031,GO:0006164
39,yeast,10,GO:0006085,GO:0015867,GO:0030488,GO:0046854,GO:0006623,GO:0055114,GO:0006413,GO:0032147,GO:0006515
